Number,Canonical SMILES,Toxicity Value,Category
109,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,17.00995762,-1
110,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,74.30133968,0
111,COc1ccc(C(=O)N2CCCC2=O)cc1,1180.0,0
112,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,128.9780773,0
113,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,56.60070204,0
114,CCNc1nc(Cl)nc(NC(C)C)n1,625.9767816,0
115,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,67.9980508,0
116,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,42.79921548,-1
117,O=NN(CCCl)C(=O)NCCCl,21.25980135,-1
118,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,338.9891919,0
119,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,36.99736076,-1
120,O=C(O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,1649.910244,0
121,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,199.9954939,0
122,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,109.6610438,0
123,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,99.9839914,0
124,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,3050.000001,1
125,CCOc1ccc(NC(=O)CC(C)O)cc1,789.9929241,0
126,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,429.9612733,0
127,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,178.9829541,0
128,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,518.9672443,0
129,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,89.99037747,0
130,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,65.00468828,0
131,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,145.9954555,0
132,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,137.9962424,0
133,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,807.0383228,0
134,O=C1CCCCCN1,650.0000002,0
135,COC(=O)Nc1nc2ccccc2[nH]1,1225.000001,0
136,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC(=O)CCC(=O)O)C(C)(C)C5CCC43C)C2C1,120.0069379,0
137,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,249.9981574,0
138,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,164.9945749,0
139,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,374.9884565,0
140,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,5599.688439,1
141,CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,4999.71808,1
142,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1,10500.30528,1
143,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3cccc4c3CCC4)CSC12)c1csc(N)n1,3850.022403,1
144,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,2534.968179,1
145,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)O)C3SC2)cc1,6350.428446,1
146,CON=C(C(=O)NC1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CSC12)c1ccco1,510.0189824,0
147,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,19.99888236,-1
148,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1099.993193,0
149,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C,2999.748106,1
150,Cc1ncsc1CCCl,189.9917727,0
151,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,66.99672554,0
152,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,408.9926107,0
153,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,85.63770791,0
154,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,1299.981317,0
155,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,199.9927788,0
156,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,288.9951953,0
157,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,118.005812,0
158,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,129.9973086,0
159,Clc1cccc(Cl)c1NC1=NCCN1,99.99652318,0
160,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,439.9599781,0
161,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1170.029525,0
162,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,61.85757057,0
163,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,199.9949392,0
164,Cc1ccc(O)cc1,24.99999998,-1
165,CC=CC(=O)N(CC)c1ccccc1C,394.990285,0
166,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,90.00163394,0
167,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,314.0096982,0
168,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,50.96871128,0
169,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,260.0319549,0
170,Clc1ccc(Cl)cc1,1999.945582,0
171,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,190.0016651,0
172,Cc1c(O)c(=O)ccn1C,982.9717432,0
173,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1,163.981518,0
174,COC(=O)C1C2CC3c4[nH]c5ccccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,60.00394017,0
175,CC(C)(CO)C(O)C(=O)NCCCO,9533.963343,1
176,CC(N)Cc1ccccc1,4.400000003,-1
177,NCCCC(N)(C(=O)O)C(F)F,2999.999997,1
178,CCOC(=O)NC1=C(N2CC2)C(=O)C(NC(=O)OCC)=C(N2CC2)C1=O,11.2897521,-1
179,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,999.9277101,0
180,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,537.8877314,0
181,CCCC(=O)OC1(C(=O)COC(C)=O)CCC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,145.9833489,0
182,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,3.899745081,-1
183,NNc1nnc(NN)c2ccccc12,150.8695912,0
184,C1COCCO1,790.0358668,0
185,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,103.6446433,0
186,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,320.0014142,0
187,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,32.69599906,-1
188,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,243.0112878,0
189,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,7999.624339,1
190,CN(C)CCC=C1c2ccccc2COc2ccccc21,79.00480705,0
191,CCC(=C(c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,1499.910971,0
192,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,168.0165612,0
193,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,71.9933586,0
